,relationType,argSrc,argTrg,Unnamed: 0.1,Unnamed: 0
36,neither,From a Christian and humanistic perspective it is not allowed to kill someone.,However also the threat of the death penalty in the respective countries apparently cannot prevent murder and violent crime.,,
37,neither,From a Christian and humanistic perspective it is not allowed to kill someone.,Moreover it turns out time and again that innocent people are also convicted and executed.,,
38,attack,Proponents of the death penalty count on its deterring effect as well as the ultimate elimination of any potential threat.,The death penalty should be abandoned everywhere.,,
39,neither,Proponents of the death penalty count on its deterring effect as well as the ultimate elimination of any potential threat.,From a Christian and humanistic perspective it is not allowed to kill someone.,,
40,neither,Proponents of the death penalty count on its deterring effect as well as the ultimate elimination of any potential threat.,However also the threat of the death penalty in the respective countries apparently cannot prevent murder and violent crime.,,
41,neither,Proponents of the death penalty count on its deterring effect as well as the ultimate elimination of any potential threat.,Moreover it turns out time and again that innocent people are also convicted and executed.,,
42,neither,However also the threat of the death penalty in the respective countries apparently cannot prevent murder and violent crime.,The death penalty should be abandoned everywhere.,,
43,neither,However also the threat of the death penalty in the respective countries apparently cannot prevent murder and violent crime.,From a Christian and humanistic perspective it is not allowed to kill someone.,,
44,attack,However also the threat of the death penalty in the respective countries apparently cannot prevent murder and violent crime.,Proponents of the death penalty count on its deterring effect as well as the ultimate elimination of any potential threat.,,
45,neither,However also the threat of the death penalty in the respective countries apparently cannot prevent murder and violent crime.,Moreover it turns out time and again that innocent people are also convicted and executed.,,
46,support,Moreover it turns out time and again that innocent people are also convicted and executed.,The death penalty should be abandoned everywhere.,,
47,neither,Moreover it turns out time and again that innocent people are also convicted and executed.,From a Christian and humanistic perspective it is not allowed to kill someone.,,
48,neither,Moreover it turns out time and again that innocent people are also convicted and executed.,Proponents of the death penalty count on its deterring effect as well as the ultimate elimination of any potential threat.,,
49,neither,Moreover it turns out time and again that innocent people are also convicted and executed.,However also the threat of the death penalty in the respective countries apparently cannot prevent murder and violent crime.,,
50,neither,"A bank bailout is very, very costly.","For instance, the taxpayer stood in for the failed bank 'Hypo Real Estate' with a three-figure billion amount.",,
51,support,"A bank bailout is very, very costly.",That's why we should not allow any additional bank rescues.,,
52,neither,"A bank bailout is very, very costly.",The politicians are trying to appease us with the fact that actually only a tiny amount of all that money was really spent.,,
53,neither,"A bank bailout is very, very costly.",But even with that tiny amount you could do a lot of good elsewhere.,,
54,support,"For instance, the taxpayer stood in for the failed bank 'Hypo Real Estate' with a three-figure billion amount.","A bank bailout is very, very costly.",,
55,neither,"For instance, the taxpayer stood in for the failed bank 'Hypo Real Estate' with a three-figure billion amount.",That's why we should not allow any additional bank rescues.,,
56,neither,"For instance, the taxpayer stood in for the failed bank 'Hypo Real Estate' with a three-figure billion amount.",The politicians are trying to appease us with the fact that actually only a tiny amount of all that money was really spent.,,
57,neither,"For instance, the taxpayer stood in for the failed bank 'Hypo Real Estate' with a three-figure billion amount.",But even with that tiny amount you could do a lot of good elsewhere.,,
58,neither,That's why we should not allow any additional bank rescues.,"A bank bailout is very, very costly.",,
59,neither,That's why we should not allow any additional bank rescues.,"For instance, the taxpayer stood in for the failed bank 'Hypo Real Estate' with a three-figure billion amount.",,
60,neither,That's why we should not allow any additional bank rescues.,The politicians are trying to appease us with the fact that actually only a tiny amount of all that money was really spent.,,
61,neither,That's why we should not allow any additional bank rescues.,But even with that tiny amount you could do a lot of good elsewhere.,,
62,attack,The politicians are trying to appease us with the fact that actually only a tiny amount of all that money was really spent.,"A bank bailout is very, very costly.",,
63,neither,The politicians are trying to appease us with the fact that actually only a tiny amount of all that money was really spent.,"For instance, the taxpayer stood in for the failed bank 'Hypo Real Estate' with a three-figure billion amount.",,
64,neither,The politicians are trying to appease us with the fact that actually only a tiny amount of all that money was really spent.,That's why we should not allow any additional bank rescues.,,
65,neither,The politicians are trying to appease us with the fact that actually only a tiny amount of all that money was really spent.,But even with that tiny amount you could do a lot of good elsewhere.,,
66,neither,But even with that tiny amount you could do a lot of good elsewhere.,"A bank bailout is very, very costly.",,
67,neither,But even with that tiny amount you could do a lot of good elsewhere.,"For instance, the taxpayer stood in for the failed bank 'Hypo Real Estate' with a three-figure billion amount.",,
68,neither,But even with that tiny amount you could do a lot of good elsewhere.,That's why we should not allow any additional bank rescues.,,
69,attack,But even with that tiny amount you could do a lot of good elsewhere.,The politicians are trying to appease us with the fact that actually only a tiny amount of all that money was really spent.,,
70,neither,Video games ought to be included in the ranks of Olympic events.,The performance often required by players is considerable and by all means comparable to physical efforts.,,
71,neither,Video games ought to be included in the ranks of Olympic events.,"Various skills are promoted and required by different games,",,
72,neither,Video games ought to be included in the ranks of Olympic events.,"including planning abilities, reaction time, and reasoning to name but a few.",,
73,neither,Video games ought to be included in the ranks of Olympic events.,"Considering their requirements, some video games are not relevant as sports,",,
74,neither,Video games ought to be included in the ranks of Olympic events.,but this issue should be solvable through a clearly structured preselection process.,,
75,support,The performance often required by players is considerable and by all means comparable to physical efforts.,Video games ought to be included in the ranks of Olympic events.,,
76,neither,The performance often required by players is considerable and by all means comparable to physical efforts.,"Various skills are promoted and required by different games,",,
77,neither,The performance often required by players is considerable and by all means comparable to physical efforts.,"including planning abilities, reaction time, and reasoning to name but a few.",,
78,neither,The performance often required by players is considerable and by all means comparable to physical efforts.,"Considering their requirements, some video games are not relevant as sports,",,
79,neither,The performance often required by players is considerable and by all means comparable to physical efforts.,but this issue should be solvable through a clearly structured preselection process.,,
80,neither,"Various skills are promoted and required by different games,",Video games ought to be included in the ranks of Olympic events.,,
81,support,"Various skills are promoted and required by different games,",The performance often required by players is considerable and by all means comparable to physical efforts.,,
82,neither,"Various skills are promoted and required by different games,","including planning abilities, reaction time, and reasoning to name but a few.",,
83,neither,"Various skills are promoted and required by different games,","Considering their requirements, some video games are not relevant as sports,",,
84,neither,"Various skills are promoted and required by different games,",but this issue should be solvable through a clearly structured preselection process.,,
85,neither,"including planning abilities, reaction time, and reasoning to name but a few.",Video games ought to be included in the ranks of Olympic events.,,
86,neither,"including planning abilities, reaction time, and reasoning to name but a few.",The performance often required by players is considerable and by all means comparable to physical efforts.,,
87,support,"including planning abilities, reaction time, and reasoning to name but a few.","Various skills are promoted and required by different games,",,
88,neither,"including planning abilities, reaction time, and reasoning to name but a few.","Considering their requirements, some video games are not relevant as sports,",,
89,neither,"including planning abilities, reaction time, and reasoning to name but a few.",but this issue should be solvable through a clearly structured preselection process.,,
90,attack,"Considering their requirements, some video games are not relevant as sports,",Video games ought to be included in the ranks of Olympic events.,,
91,neither,"Considering their requirements, some video games are not relevant as sports,",The performance often required by players is considerable and by all means comparable to physical efforts.,,
92,neither,"Considering their requirements, some video games are not relevant as sports,","Various skills are promoted and required by different games,",,
93,neither,"Considering their requirements, some video games are not relevant as sports,","including planning abilities, reaction time, and reasoning to name but a few.",,
94,neither,"Considering their requirements, some video games are not relevant as sports,",but this issue should be solvable through a clearly structured preselection process.,,
95,neither,but this issue should be solvable through a clearly structured preselection process.,Video games ought to be included in the ranks of Olympic events.,,
96,neither,but this issue should be solvable through a clearly structured preselection process.,The performance often required by players is considerable and by all means comparable to physical efforts.,,
97,neither,but this issue should be solvable through a clearly structured preselection process.,"Various skills are promoted and required by different games,",,
98,neither,but this issue should be solvable through a clearly structured preselection process.,"including planning abilities, reaction time, and reasoning to name but a few.",,
99,attack,but this issue should be solvable through a clearly structured preselection process.,"Considering their requirements, some video games are not relevant as sports,",,
100,neither,Our society is in danger of overheating due to 'never clocking off'.,"Even though politicians stress the Christian character of our country,",,
101,neither,Our society is in danger of overheating due to 'never clocking off'.,the last 20 years have seen the Sunday off work increasingly sacrificed to commerce.,,
102,neither,Our society is in danger of overheating due to 'never clocking off'.,"But after all, the purpose of having a day off is not just to make time to go to church.",,
103,neither,Our society is in danger of overheating due to 'never clocking off'.,Rather it should give people the chance to have a mental break.,,
104,support,Our society is in danger of overheating due to 'never clocking off'.,That's why there ought to be one day a week when supermarkets and shopping centres stay closed.,,
105,neither,"Even though politicians stress the Christian character of our country,",Our society is in danger of overheating due to 'never clocking off'.,,
106,attack,"Even though politicians stress the Christian character of our country,",the last 20 years have seen the Sunday off work increasingly sacrificed to commerce.,,
107,neither,"Even though politicians stress the Christian character of our country,","But after all, the purpose of having a day off is not just to make time to go to church.",,
108,neither,"Even though politicians stress the Christian character of our country,",Rather it should give people the chance to have a mental break.,,
109,neither,"Even though politicians stress the Christian character of our country,",That's why there ought to be one day a week when supermarkets and shopping centres stay closed.,,
110,support,the last 20 years have seen the Sunday off work increasingly sacrificed to commerce.,Our society is in danger of overheating due to 'never clocking off'.,,
111,neither,the last 20 years have seen the Sunday off work increasingly sacrificed to commerce.,"Even though politicians stress the Christian character of our country,",,
112,neither,the last 20 years have seen the Sunday off work increasingly sacrificed to commerce.,"But after all, the purpose of having a day off is not just to make time to go to church.",,
113,neither,the last 20 years have seen the Sunday off work increasingly sacrificed to commerce.,Rather it should give people the chance to have a mental break.,,
114,neither,the last 20 years have seen the Sunday off work increasingly sacrificed to commerce.,That's why there ought to be one day a week when supermarkets and shopping centres stay closed.,,
115,neither,"But after all, the purpose of having a day off is not just to make time to go to church.",Our society is in danger of overheating due to 'never clocking off'.,,
116,neither,"But after all, the purpose of having a day off is not just to make time to go to church.","Even though politicians stress the Christian character of our country,",,
117,neither,"But after all, the purpose of having a day off is not just to make time to go to church.",the last 20 years have seen the Sunday off work increasingly sacrificed to commerce.,,
118,neither,"But after all, the purpose of having a day off is not just to make time to go to church.",Rather it should give people the chance to have a mental break.,,
119,support,"But after all, the purpose of having a day off is not just to make time to go to church.",That's why there ought to be one day a week when supermarkets and shopping centres stay closed.,,
120,neither,Rather it should give people the chance to have a mental break.,Our society is in danger of overheating due to 'never clocking off'.,,
121,neither,Rather it should give people the chance to have a mental break.,"Even though politicians stress the Christian character of our country,",,
122,neither,Rather it should give people the chance to have a mental break.,the last 20 years have seen the Sunday off work increasingly sacrificed to commerce.,,
123,neither,Rather it should give people the chance to have a mental break.,"But after all, the purpose of having a day off is not just to make time to go to church.",,
124,support,Rather it should give people the chance to have a mental break.,That's why there ought to be one day a week when supermarkets and shopping centres stay closed.,,
125,neither,That's why there ought to be one day a week when supermarkets and shopping centres stay closed.,Our society is in danger of overheating due to 'never clocking off'.,,
126,neither,That's why there ought to be one day a week when supermarkets and shopping centres stay closed.,"Even though politicians stress the Christian character of our country,",,
127,neither,That's why there ought to be one day a week when supermarkets and shopping centres stay closed.,the last 20 years have seen the Sunday off work increasingly sacrificed to commerce.,,
128,neither,That's why there ought to be one day a week when supermarkets and shopping centres stay closed.,"But after all, the purpose of having a day off is not just to make time to go to church.",,
129,neither,That's why there ought to be one day a week when supermarkets and shopping centres stay closed.,Rather it should give people the chance to have a mental break.,,
130,neither,"Well, I as an employee find it very practical to be able to shop at least on weekends.","Sure, other people have to work in the shops on the weekend,",,
131,neither,"Well, I as an employee find it very practical to be able to shop at least on weekends.",but they can have days off during the week and run errands at their leisure while I'm stuck in the office.,,
132,neither,"Well, I as an employee find it very practical to be able to shop at least on weekends.","Plus, the state wants me to spend my money,",,
133,neither,"Well, I as an employee find it very practical to be able to shop at least on weekends.",and how am I supposed to do that when the shops aren't open when I'm off work?,,
134,attack,"Sure, other people have to work in the shops on the weekend,","Well, I as an employee find it very practical to be able to shop at least on weekends.",,
135,neither,"Sure, other people have to work in the shops on the weekend,",but they can have days off during the week and run errands at their leisure while I'm stuck in the office.,,
136,neither,"Sure, other people have to work in the shops on the weekend,","Plus, the state wants me to spend my money,",,
137,neither,"Sure, other people have to work in the shops on the weekend,",and how am I supposed to do that when the shops aren't open when I'm off work?,,
138,neither,but they can have days off during the week and run errands at their leisure while I'm stuck in the office.,"Well, I as an employee find it very practical to be able to shop at least on weekends.",,
139,attack,but they can have days off during the week and run errands at their leisure while I'm stuck in the office.,"Sure, other people have to work in the shops on the weekend,",,
140,neither,but they can have days off during the week and run errands at their leisure while I'm stuck in the office.,"Plus, the state wants me to spend my money,",,
141,neither,but they can have days off during the week and run errands at their leisure while I'm stuck in the office.,and how am I supposed to do that when the shops aren't open when I'm off work?,,
142,support,"Plus, the state wants me to spend my money,","Well, I as an employee find it very practical to be able to shop at least on weekends.",,
143,neither,"Plus, the state wants me to spend my money,","Sure, other people have to work in the shops on the weekend,",,
144,neither,"Plus, the state wants me to spend my money,",but they can have days off during the week and run errands at their leisure while I'm stuck in the office.,,
145,neither,"Plus, the state wants me to spend my money,",and how am I supposed to do that when the shops aren't open when I'm off work?,,
146,support,and how am I supposed to do that when the shops aren't open when I'm off work?,"Well, I as an employee find it very practical to be able to shop at least on weekends.",,
147,neither,and how am I supposed to do that when the shops aren't open when I'm off work?,"Sure, other people have to work in the shops on the weekend,",,
148,neither,and how am I supposed to do that when the shops aren't open when I'm off work?,but they can have days off during the week and run errands at their leisure while I'm stuck in the office.,,
149,neither,and how am I supposed to do that when the shops aren't open when I'm off work?,"Plus, the state wants me to spend my money,",,
150,neither,It is unfair and unjustifiable that new tenants have to pay a much higher rent than previous residents.,Clearly the landlord has to pay for some repairs before a new lease.,,
151,neither,It is unfair and unjustifiable that new tenants have to pay a much higher rent than previous residents.,But surely these costs could be covered by a minimal increase in rent over the course of the entire lease.,,
152,neither,It is unfair and unjustifiable that new tenants have to pay a much higher rent than previous residents.,All the more so as for an adequate profit the rental rate as compared to the base rent need not be raised for every new lease.,,
153,attack,Clearly the landlord has to pay for some repairs before a new lease.,It is unfair and unjustifiable that new tenants have to pay a much higher rent than previous residents.,,
154,neither,Clearly the landlord has to pay for some repairs before a new lease.,But surely these costs could be covered by a minimal increase in rent over the course of the entire lease.,,
155,neither,Clearly the landlord has to pay for some repairs before a new lease.,All the more so as for an adequate profit the rental rate as compared to the base rent need not be raised for every new lease.,,
156,neither,But surely these costs could be covered by a minimal increase in rent over the course of the entire lease.,It is unfair and unjustifiable that new tenants have to pay a much higher rent than previous residents.,,
157,attack,But surely these costs could be covered by a minimal increase in rent over the course of the entire lease.,Clearly the landlord has to pay for some repairs before a new lease.,,
158,neither,But surely these costs could be covered by a minimal increase in rent over the course of the entire lease.,All the more so as for an adequate profit the rental rate as compared to the base rent need not be raised for every new lease.,,
159,support,All the more so as for an adequate profit the rental rate as compared to the base rent need not be raised for every new lease.,It is unfair and unjustifiable that new tenants have to pay a much higher rent than previous residents.,,
160,neither,All the more so as for an adequate profit the rental rate as compared to the base rent need not be raised for every new lease.,Clearly the landlord has to pay for some repairs before a new lease.,,
161,neither,All the more so as for an adequate profit the rental rate as compared to the base rent need not be raised for every new lease.,But surely these costs could be covered by a minimal increase in rent over the course of the entire lease.,,
162,neither,"I find the peripheral housing development at Tempelhofer Feld right for urban planning reasons,",as the area is right in the middle of the city (capital).,,
163,neither,"I find the peripheral housing development at Tempelhofer Feld right for urban planning reasons,",The size of the field allows for both housing and generous open space.,,
164,support,as the area is right in the middle of the city (capital).,"I find the peripheral housing development at Tempelhofer Feld right for urban planning reasons,",,
165,neither,as the area is right in the middle of the city (capital).,The size of the field allows for both housing and generous open space.,,
166,support,The size of the field allows for both housing and generous open space.,"I find the peripheral housing development at Tempelhofer Feld right for urban planning reasons,",,
167,neither,The size of the field allows for both housing and generous open space.,as the area is right in the middle of the city (capital).,,
168,neither,School uniforms should not be worn in our schools.,They do offer the benefit that the competition over brand-name clothes and the discrimination of the socially weak are prevented.,,
169,neither,School uniforms should not be worn in our schools.,Nevertheless hardly anyone wishes to dress themselves or their children in a standard uniform.,,
170,neither,School uniforms should not be worn in our schools.,Plus such uniforms also stand for ideological conformity and for the suppression of individual self-development.,,
171,attack,They do offer the benefit that the competition over brand-name clothes and the discrimination of the socially weak are prevented.,School uniforms should not be worn in our schools.,,
172,neither,They do offer the benefit that the competition over brand-name clothes and the discrimination of the socially weak are prevented.,Nevertheless hardly anyone wishes to dress themselves or their children in a standard uniform.,,
173,neither,They do offer the benefit that the competition over brand-name clothes and the discrimination of the socially weak are prevented.,Plus such uniforms also stand for ideological conformity and for the suppression of individual self-development.,,
174,neither,Nevertheless hardly anyone wishes to dress themselves or their children in a standard uniform.,School uniforms should not be worn in our schools.,,
175,attack,Nevertheless hardly anyone wishes to dress themselves or their children in a standard uniform.,They do offer the benefit that the competition over brand-name clothes and the discrimination of the socially weak are prevented.,,
176,neither,Nevertheless hardly anyone wishes to dress themselves or their children in a standard uniform.,Plus such uniforms also stand for ideological conformity and for the suppression of individual self-development.,,
177,support,Plus such uniforms also stand for ideological conformity and for the suppression of individual self-development.,School uniforms should not be worn in our schools.,,
178,neither,Plus such uniforms also stand for ideological conformity and for the suppression of individual self-development.,They do offer the benefit that the competition over brand-name clothes and the discrimination of the socially weak are prevented.,,
179,neither,Plus such uniforms also stand for ideological conformity and for the suppression of individual self-development.,Nevertheless hardly anyone wishes to dress themselves or their children in a standard uniform.,,
180,neither,Olympic events are rooted in old traditions.,"On the other hand, the events have a culturally determined character.",,
181,neither,Olympic events are rooted in old traditions.,Our society is strongly digitized and influenced by computers.,,
182,neither,Olympic events are rooted in old traditions.,Yet sports are usually associated with physical training.,,
183,neither,Olympic events are rooted in old traditions.,"Since however skat, chess etc. are not accepted as Olympic events,",,
184,support,Olympic events are rooted in old traditions.,computer games should also not be recognized as Olympic events.,,
185,neither,"On the other hand, the events have a culturally determined character.",Olympic events are rooted in old traditions.,,
186,neither,"On the other hand, the events have a culturally determined character.",Our society is strongly digitized and influenced by computers.,,
187,neither,"On the other hand, the events have a culturally determined character.",Yet sports are usually associated with physical training.,,
188,neither,"On the other hand, the events have a culturally determined character.","Since however skat, chess etc. are not accepted as Olympic events,",,
189,attack,"On the other hand, the events have a culturally determined character.",computer games should also not be recognized as Olympic events.,,
190,neither,Our society is strongly digitized and influenced by computers.,Olympic events are rooted in old traditions.,,
191,neither,Our society is strongly digitized and influenced by computers.,"On the other hand, the events have a culturally determined character.",,
192,neither,Our society is strongly digitized and influenced by computers.,Yet sports are usually associated with physical training.,,
193,neither,Our society is strongly digitized and influenced by computers.,"Since however skat, chess etc. are not accepted as Olympic events,",,
194,attack,Our society is strongly digitized and influenced by computers.,computer games should also not be recognized as Olympic events.,,
195,neither,Yet sports are usually associated with physical training.,Olympic events are rooted in old traditions.,,
196,neither,Yet sports are usually associated with physical training.,"On the other hand, the events have a culturally determined character.",,
197,neither,Yet sports are usually associated with physical training.,Our society is strongly digitized and influenced by computers.,,
198,neither,Yet sports are usually associated with physical training.,"Since however skat, chess etc. are not accepted as Olympic events,",,
199,support,Yet sports are usually associated with physical training.,computer games should also not be recognized as Olympic events.,,
200,neither,"Since however skat, chess etc. are not accepted as Olympic events,",Olympic events are rooted in old traditions.,,
201,neither,"Since however skat, chess etc. are not accepted as Olympic events,","On the other hand, the events have a culturally determined character.",,
202,neither,"Since however skat, chess etc. are not accepted as Olympic events,",Our society is strongly digitized and influenced by computers.,,
203,neither,"Since however skat, chess etc. are not accepted as Olympic events,",Yet sports are usually associated with physical training.,,
204,support,"Since however skat, chess etc. are not accepted as Olympic events,",computer games should also not be recognized as Olympic events.,,
205,neither,computer games should also not be recognized as Olympic events.,Olympic events are rooted in old traditions.,,
206,neither,computer games should also not be recognized as Olympic events.,"On the other hand, the events have a culturally determined character.",,
207,neither,computer games should also not be recognized as Olympic events.,Our society is strongly digitized and influenced by computers.,,
208,neither,computer games should also not be recognized as Olympic events.,Yet sports are usually associated with physical training.,,
209,neither,computer games should also not be recognized as Olympic events.,"Since however skat, chess etc. are not accepted as Olympic events,",,
210,neither,"Alternative treatments should be subsidized in the same way as conventional treatments,","since both methods can lead to the prevention, mitigation or cure of an illness.",,
211,neither,"Alternative treatments should be subsidized in the same way as conventional treatments,","Besides it should be in the interest of the health insurers to recognize alternative medicine as treatment,",,
212,neither,"Alternative treatments should be subsidized in the same way as conventional treatments,",since there is a chance of recovery.,,
213,neither,"Alternative treatments should be subsidized in the same way as conventional treatments,",It doesn't matter after all that those who administer the treatment don't have 'doctor status'.,,
214,support,"since both methods can lead to the prevention, mitigation or cure of an illness.","Alternative treatments should be subsidized in the same way as conventional treatments,",,
215,neither,"since both methods can lead to the prevention, mitigation or cure of an illness.","Besides it should be in the interest of the health insurers to recognize alternative medicine as treatment,",,
216,neither,"since both methods can lead to the prevention, mitigation or cure of an illness.",since there is a chance of recovery.,,
217,neither,"since both methods can lead to the prevention, mitigation or cure of an illness.",It doesn't matter after all that those who administer the treatment don't have 'doctor status'.,,
218,support,"Besides it should be in the interest of the health insurers to recognize alternative medicine as treatment,","Alternative treatments should be subsidized in the same way as conventional treatments,",,
219,neither,"Besides it should be in the interest of the health insurers to recognize alternative medicine as treatment,","since both methods can lead to the prevention, mitigation or cure of an illness.",,
220,neither,"Besides it should be in the interest of the health insurers to recognize alternative medicine as treatment,",since there is a chance of recovery.,,
221,neither,"Besides it should be in the interest of the health insurers to recognize alternative medicine as treatment,",It doesn't matter after all that those who administer the treatment don't have 'doctor status'.,,
222,neither,since there is a chance of recovery.,"Alternative treatments should be subsidized in the same way as conventional treatments,",,
223,neither,since there is a chance of recovery.,"since both methods can lead to the prevention, mitigation or cure of an illness.",,
224,support,since there is a chance of recovery.,"Besides it should be in the interest of the health insurers to recognize alternative medicine as treatment,",,
225,neither,since there is a chance of recovery.,It doesn't matter after all that those who administer the treatment don't have 'doctor status'.,,
226,support,It doesn't matter after all that those who administer the treatment don't have 'doctor status'.,"Alternative treatments should be subsidized in the same way as conventional treatments,",,
227,neither,It doesn't matter after all that those who administer the treatment don't have 'doctor status'.,"since both methods can lead to the prevention, mitigation or cure of an illness.",,
228,neither,It doesn't matter after all that those who administer the treatment don't have 'doctor status'.,"Besides it should be in the interest of the health insurers to recognize alternative medicine as treatment,",,
229,neither,It doesn't matter after all that those who administer the treatment don't have 'doctor status'.,since there is a chance of recovery.,,
230,neither,The prototype of Audi's new sports car has car lovers raving.,"The steering system may still need a bit of tweaking,",,
231,neither,The prototype of Audi's new sports car has car lovers raving.,"as the car jack-knifes at higher speeds,",,
232,neither,The prototype of Audi's new sports car has car lovers raving.,and surely you'll want to be speeding a lot with that beauty.,,
233,neither,The prototype of Audi's new sports car has car lovers raving.,But aside from that the car caters to pretty much every wish.,,
234,attack,"The steering system may still need a bit of tweaking,",The prototype of Audi's new sports car has car lovers raving.,,
235,neither,"The steering system may still need a bit of tweaking,","as the car jack-knifes at higher speeds,",,
236,neither,"The steering system may still need a bit of tweaking,",and surely you'll want to be speeding a lot with that beauty.,,
237,neither,"The steering system may still need a bit of tweaking,",But aside from that the car caters to pretty much every wish.,,
238,neither,"as the car jack-knifes at higher speeds,",The prototype of Audi's new sports car has car lovers raving.,,
239,support,"as the car jack-knifes at higher speeds,","The steering system may still need a bit of tweaking,",,
240,neither,"as the car jack-knifes at higher speeds,",and surely you'll want to be speeding a lot with that beauty.,,
241,neither,"as the car jack-knifes at higher speeds,",But aside from that the car caters to pretty much every wish.,,
