,kialoUrlId,tags
45,should-children-learn-about-gender-identity-and-sexual-orientation-in-school-16173,"['Transgender', 'Education', 'Gender', 'Children', 'Identity']"
46,is-king-charles-iii-good-for-the-united-kingdom-63557,"['UnitedKingdom', 'King', 'Charles', 'British', 'Royalty']"
47,should-cinco-de-mayo-be-celebrated-in-the-us-14416,"['Society', 'Culture', 'History', 'USA', 'Education']"
48,was-the-2020-uk-recession-inevitable-even-without-the-covid-19-pandemic-38195,"['Recession', 'Brexit', 'GDP', '2008-crash', 'COVID-19']"
49,are-the-catholic-teachings-the-best-8862,"['Religion', 'God', 'Christianity']"
50,does-the-forward-party-have-the-best-platform-(not-most-likely-to-win)-of-any-political-party-in-america-56079,"['ForwardParty', 'Politics', 'PoliticalParty', 'AndrewYang']"
51,is-pornography-art-23651,"['Culture', 'Philosophy', 'Feminism', 'Sex', 'Art']"
52,how-did-our-universe-begin-to-exist-63772,"['Metaphysical', 'Philosophy', 'Physics', 'Science', 'God', 'Cosmology']"
53,should-all-drugs-be-legalised-7100,"['Drugs', 'Law', 'Health']"
54,what-is-god-30906,"['Religion', 'God']"
55,is-it-time-to-'free-the-nipple'-toplessness-and-gender-equality-in-the-us-1922,"['Gender', 'Equality', 'Women', 'USA', 'Feminism', 'America']"
56,pro-life-vs-pro-choice:-should-abortion-be-legal-5637,"['Feminism', 'Abortion', 'Health', 'Religion', 'Women', 'Law']"
57,"if-scientifically-possible,-should-humans-become-immortal-7721","['Ethics', 'Health', 'Science', 'Technology', 'Humans']"
58,"should-high-quality-childcare-be-provided,-free-of-charge,-to-all-americans--61124","['Childcare', 'Education', 'Families']"
59,is-joe-biden-better-than-donald-trump-39949,"['Elections', 'Trump', 'Biden', 'USA', 'America']"
60,donald-trump-for-president-2024-65105,"['Trump', 'President', 'Elections', '2024']"
61,should-the-un-security-council's-veto-power-and-permanent-membership-for-the-five-nations-be-abolished-64943,"['UN', 'UnitedNations', 'Power', 'WorldAffairs', 'Justice', 'Equality']"
62,why-does-something-exist-rather-than-nothing-63748,"['Philosophy', 'Metaphysical', 'God', 'Reality', 'Physics', 'Science']"
63,will-the-impact-of-ai-in-the-creative-sector-be-positive-64872,"['AI', 'Creativity', 'Film', 'Art', 'Technology']"
64,should-children-be-allowed-on-social-media-17797,"['Technology', 'Society', 'Education', 'Children']"
65,does-science-justify-atheism-9967,"['Philosophy', 'Science', 'Religion']"
66,is-steroid-use-outside-sports-ethical-55806,"['Steroids', 'Performance', 'Drugs', 'Ethics', 'Morals', 'Narcissism']"
67,should-we-adapt-to-climate-change-rather-than-avert-it-31679,"['Climate-Change', 'Adaptations', 'Environment']"
68,are-the-roots-of-the-israel-palestine-conflict-antisemitic-64539,"['Israel', 'Palestine', 'USA', 'Judaism', 'Gaza']"
69,would-a-genderless-society-be-better-16617,"['Society', 'Philosophy', 'Ethics', 'Gender', 'LGBTQ']"
70,do-aliens-exist-1258,"['Space', 'Aliens', 'Science', 'Philosophy']"
71,"what-criteria-can-we-use-to-distinguish-between-knowledge,-belief-and-opinion-51784","['Philosophy', 'Epistemology', 'TOK']"
72,should-bottled-water-be-banned-31761,"['Science', 'Pollution']"
73,which-religion-best-supports-science-47313,"['Science', 'Religion', 'Rationality', 'Epistemology', 'History']"
74,which-cosmological-model-(or-models)-is-correct-51402,"['Science', 'Cosmology', 'Astronomy', 'Physics', 'Universe']"
75,le-tirage-au-sort-des-parlementaires-est-il-une-alternative-souhaitable-à-l'élection--50716,['Politique']
76,will-robots-doing-work-be-better-or-worse-for-humans-64640,"['Robots', 'Jobs', 'Human', 'Evolution']"
77,should-evangelicals-vote-for-trump-30347,"['Religion', 'USA', 'Politics', 'Trump']"
78,what-cause-area-is-the-most-pressing-59834,"['Philosophy', 'Problem', 'Effectivealtruism']"
79,is-television-bad-for-people-13514,"['Politics', 'Ethics', 'Technology', 'Education', 'Science']"
80,what-is-the-best-writing-advice-37947,"['Writing', 'Art', 'Fantasy', 'Novel', 'Narration', 'Literature']"
81,should-trans-women-be-allowed-to-compete-in-women's-sports-29886,"['Transgender', 'Sports', 'Gender']"
82,it-takes-a-nation-to-defend-a-nation-59355,"['Resilience', 'Security', 'Defence', 'Defense', 'Society', 'Civilsociety']"
83,was-david-cameron-a-good-or-a-bad-prime-minister-39413,"['Cameron', 'Britain', 'Politics', 'Prime', 'Minister', 'Government']"
84,should-an-artificial-general-intelligence-be-created-3529,"['AI', 'Ethics', 'Technology', 'Science']"
85,what-are-ufos-63205,"['UFO', 'Aliens', 'Physics', 'Science', 'Aviation', 'Mysteries']"
86,is-one-sex-partner-enough-39007,['Sex']
87,should-women-stay-at-home-to-raise-children-39952,"['Motherhood', 'Children', 'Women', 'Feminism']"
88,should-public-nudity-be-legal-16068,"['Society', 'Culture', 'Gender', 'Law']"
89,should-homeschooling-be-banned-9647,"['Education', 'Policy', 'USA', 'Law', 'School', 'America']"
90,"should-the-usa-break-up-into-smaller,-distinct-nations-37721","['UnitedStates', 'Balkanize', 'Balkanization', 'Politics', 'Geopolitics']"
91,scottish-independence:-should-scotland-be-an-independent-country-8363,"['Politics', 'UK', 'Freedom', 'Europe']"
92,the-ethics-of-eating-animals:-is-eating-meat-wrong-1229,"['AnimalRights', 'Meat', 'Vegetarian', 'Food', 'Health', 'Ethics']"
93,is-the-constitution-nearly-dead-58800,"['ConstitutionOfUSA', 'Laws', 'ConstitutionalThreats']"
94,are-women-superior-to-men-37521,"['Women', 'Woman', 'Feminism', 'Gender', 'Men', 'Society']"
95,should-cascadia-secede-from-the-united-states-and-canada-60324,"['Cascadia', 'Bioregionalism']"
96,should-drinking-water-be-fluoridated-10393,"['Environment', 'Health', 'Policy', 'Government']"
97,should-florida-pass-hb-1-(social-media-use-for-minors)-64914,"['Media', 'Florida', 'Legislation']"
98,is-science-becoming-increasingly-distorted-and-losing-objectivity-50705,"['Science', 'Scientism', 'Politics', 'Society', 'Philosophy', 'History']"
99,what-is-the-best-religion-to-believe-3371,"['Religion', 'Christianity', 'Islam', 'Judaism', 'Philosophy', 'Faith']"
100,is-it-better-to-live-alone​-or-with-someone-22324,"['Society', 'Relationships', 'Humans']"
101,is-globalisation-good-or-bad-12377,"['Ethics', 'Politics', 'Economics', 'Philosophy', 'Technology', 'Policy']"
102,the-river-sidon-was-where-3853,"['Christianity', 'Geography', 'Knowledge', 'Ethics', 'Mormon', 'War']"
103,are-trans-women-real-women-57536,"['Transgender', 'LGBTQ', 'Gender', 'Trans']"
104,is-a-hot-dog-a-sandwich-9963,"['Food', 'USA', 'America']"
105,should-the-use-of-'chosen'-or-gender-neutral-pronouns-be-mandatory-15978,"['Politics', 'Science', 'Society', 'Health', 'Ethics', 'Gender']"
106,"trump-did-not-call-white-supremacists-""very-fine-people.""-30259","['WhiteSupremacy', 'Trump', 'Charlottesville']"
107,what-is-the-purpose-of-life-55822,"['Purpose', 'Religion', 'Meaning', 'Philosophy', 'Ethics']"
108,is-objectivity-possible-30743,['Philosophy']
109,is-having-children-selfish-9284,"['Children', 'Ethics', 'Philosophy', 'Parents', 'Society', 'Antinatalism']"
110,are-men-the-biggest-problem-mankind-faces-13628,"['Culture', 'Feminism', 'Violence']"
111,should-mobile-phones-be-used-in-the-classroom-9196,"['Technology', 'Mobile', 'Classroom']"
112,will-the-impact-of-ai-in-the-educational-sector-be-positive-4049,"['AI', 'Education', 'Ethics', 'Privacy', 'Philosophy']"
113,should-we-worship-a-god-that-sends-people-to-hell-29870,"['God', 'Religion', 'Christianity', 'Faith']"
114,what-are-the-attributes-and-qualities-that-define-an-'ideal-country'-63818,"['Country', 'Nations', 'Idealism']"
115,will-countries-become-matriarchal-in-the-near-future-38103,"['Women', 'Female', 'Gender', 'Matriarchy', 'Society', 'Feminism']"
116,is-it-necessary-to-experience-suffering-16750,"['Philosophy', 'Ethics', 'Humans', 'Religion']"
117,can-non-medical-abortion-be-morally-justified-58882,"['Abortion', 'Ethics', 'Morality', 'Sentience', 'Rights', 'Body']"
118,is-darwinian-evolution-philosophy-or-science-18393,"['Evolution', 'Science', 'Philosophy', 'Faith']"
119,did-a-divine-being-create-the-universe-31848,"['Intelligent', 'Design', 'Universe', 'Creationism', 'Creation', 'God']"
120,online-gambling:-free-choice-or-addiction-47799,"['Gambling', 'Addiction']"
121,should-gambling-be-banned-in-europe-1027,"['Gambling', 'Law', 'Europe']"
122,is-scientism-a-religion-35624,"['Scientism', 'Science', 'Religion', 'Belief']"
123,does-the-bible-support-the-conclusion-that-homosexuality-is-a-sin-against-god-18187,"['Homosexuality', 'Religion', 'Scripture', 'Interpretation', 'Sexuality', 'God']"
124,triangles-aren't-a-real-instrument.-58025,"['Music', 'Philosophy', 'Parenting', 'SocialMedia', 'Sociology', 'Politics']"
125,is-free-trade-preferable-to-tariffs-for-the-united-states-23038,"['Politics', 'USA', 'Government', 'Economics']"
126,michael-jordan-is-the-goat-of-basketball-52902,"['LeBron', 'Basketball', 'Sports', 'Jordan']"
127,can-religions-and-the-lgbtq+-community-peacefully-coexist-52830,"['LGBTQ', 'Religion', 'Sexuality', 'Gender', 'Identity', 'Belief']"
128,the-healthiest-diet-for-man-contains-only-meat-and-animal-fats.-35458,"['Carnivore', 'Diet']"
129,who-is-the-superest-hero-63850,"['Philosophy', 'Comics', 'Fiction', 'Hero']"
130,"does-god-draw-man-through-""irresistible-grace""-49082","['Calvinism', 'TULIP', 'FreeWill']"
131,is-the-well-being-of-citizens-more-important-than-their-right-to-vote-58718,"['Rights', 'Voters', 'Democracy', 'Wellbeing', 'Competency']"
132,is-donation-charity-or-a-moral-obligation-63181,"['Donation', 'Morality', 'Famine', 'Affluence', 'Philosophy']"
133,is-organic-farming-better-than-conventional-farming-9613,"['Environment', 'Health', 'GMO', 'Science', 'ClimateChange']"
134,does-china-pose-a-threat-to-europe-40323,"['China', 'Europe', 'International']"
135,what-is-the-nature-of-reality-27131,"['Philosophy', 'Idealism', 'Materialism', 'Dualism', 'Monism', 'Metaphysical']"
136,can-man-made-climate-change-be-reversed-8337,"['Politics', 'Science', 'Environment', 'Earth', 'Government', 'ClimateChange']"
137,in-advanced-high-speed-rail-network-important-for-europe-55592,"['Network', 'Europe', 'Infrastructure', 'High-speed', 'Rail', 'Train']"
138,is-the-palestinian-cause-a-just-cause-50598,"['Palestine', 'Islam', 'Isreal', 'Judaism', 'Peace', 'Justice']"
139,open-source-software-is-better.-15628,"['Software', 'OpenSource']"
140,video-games-with-a-pixel-art-style-are-overdone.-15091,"['Gaming', 'Games', 'Art', 'PixelArt']"
141,best-rock-band-64208,"['Music', 'Queen', 'Rock', 'ACDC', 'Beatles', 'Radiohead']"
142,is-undocumented-immigration-into-the-united-states-a-problem-21749,"['USA', 'Immigration', 'Politics']"
143,should-we-criminalise-hate-crime-63780,"['Hate', 'Legal', 'Legislation', 'Criminality', 'Equality', 'HumanRights']"
144,should-citizens-be-able-to-crowdsource-laws-3454,"['Politics', 'Law', 'Legislation', 'Government', 'Democracy', 'Internet']"
145,will-chatgpt-do-more-harm-than-good-62479,"['ChatGPT', 'AI', 'Tech', 'ArtificialIntelligence']"
146,all-humans-should-be-vegan.-2762,"['Health', 'Vegan', 'Animals', 'Ethics', 'ClimateChange']"
147,logical-fallacies-can-be-used-to-make-a-point.-63162,"['Logic', 'Philosophy', 'Politics']"
148,"what-is-the-best-""solution""-to-the-israel/palestine-conflict-29615","['Israel', 'Politics', 'Geography', 'Palestine', 'Religion']"
149,what-are-the-ethics-of-totalitarianism-63158,"['@Totalitarianism', '@Government', '@Ethics']"
150,was-there-fraud-or-impropriety-in-the-us-2020-presidential-election-on-behalf-of-the-democratic-party-42499,"['Elections', 'USA', '2020', 'Fraud', 'Politics', 'Voting']"
151,children-voting:-should-the-minimum-voting-age-be-abolished-8516,"['Politics', 'Law', 'Government', 'Elections']"
152,is-creativity-a-vital-job-skill-10373,"['Jobs', 'Creativity', 'Work', 'Skill', 'Future']"
153,does-a-college-degree-guarantee-a-job-14140,"['Jobs', 'Education', 'Government', 'Future', 'Economics']"
154,does-god-exist-2629,"['Ethics', 'Philosophy', 'LifeAndDeath', 'Religion', 'God', 'Atheism']"
155,does-god-allow-evil:-is-the-existence-of-god-compatible-with-the-existence-of-evil-1960,"['Philosophy', 'Religion']"
156,mitigating-the-risk-of-extinction-from-ai-should-be-a-global-priority-alongside--risks-such-as-pandemics-and-nuclear-war-63178,['AI']
157,is-putin's-attack-on-ukraine-unjustifiable-and-wrong-57456,"['Politics', 'War', 'Ukraine', 'Putin']"
158,should-student-unions-be-allowed-in-schools-and-universities-19289,"['Society', 'School', 'Education']"
159,what-are-the-most-useful-educational-resources-websites-on-the-internet-14768,"['Learning', 'Knowledge', 'Internet', 'Research', 'Education', 'Web']"
160,should-gender-reassignment-procedures-for-minors-be-allowed-29365,"['Gender', 'Sexuality', 'LGBTQ']"
161,the-us-should-adopt-a-better-voting-system-(for-single-winner-elections)-4650,"['USA', 'Politics', 'Elections', 'Reform', 'America']"
162,should-programming-be-taught-in-primary-school-31178,"['Programming', 'Education', 'Society', 'Kids']"
163,is-artificial-general-intelligence-(agi)-a-threat-to-humanity-13520,"['Science', 'Future', 'Ethics', 'Artificial', 'Intelligence']"
164,did-covid-19-originate-from-a-lab-leak-56546,"['Wuhan', 'China', 'Conspiracy', 'Coronavirus', 'COVID-19', 'Science']"
165,best-nickelodeon-show-64784,['Television']
166,is-chatgpt-agi-62156,"['AGI', 'GPT', 'ChatGPT', 'AI', 'GPT-4']"
167,should-public-displays-of-affection-(pda)-be-allowed-in-middle-school-and-high-school-22714,"['Society', 'Politics', 'Education', 'Sex', 'Children', 'School']"
168,should-all-religions-be-banned-on-a-global-scale-15434,"['Religion', 'Philosophy', 'Ethics', 'Politics', 'Government']"
169,is-water-wet-6298,"['Philosophy', 'Science']"
170,should-sensitive-social-and-political-topics-be-discussed-in-school-10214,"['Politics', 'USA', 'Society', 'Law', 'Education', 'School']"
171,should-lgbtq+-conversion-therapy-be-banned-16111,"['Society', 'LGBTQ', 'Law', 'Health', 'Gender']"
172,should-suicide-be-legal-61100,"['Suicide', 'Murder', 'Legal', 'Law']"
173,should-there-be-a-universal-basic-income-(ubi)-1634,"['Economics', 'Equality', 'Money', 'Government', 'Politics', 'Poverty']"
174,socdem-or-demsoc-39360,"['Ethics', 'Policy', 'Politics', 'Philosophy', 'Economics', 'Morality']"
175,should-college-tuition-be-free-in-the-us-64327,"['UnitedStates', 'Schooling']"
176,are-video-games-art-27596,"['Art', 'Entertainment', 'Games']"
177,would-a-non-monetary-economy-be-ideal-38924,"['Economics', 'Non-monetary', 'Moneyless', 'Capitalism', 'StarTrek', 'Utopia']"
178,anarchist-economies:-universal-unit-of-account-63128,"['Anarchy', 'Economics']"
179,should-all-people-in-the-us-have-the-right-to-basic-healthcare-31279,"['Healthcare', 'Health', 'Care', 'Government', 'Right']"
180,is-okc-police-officer-daniel-holtzclaw-really-guilty-of-the-crimes-he-was-convicted-of-10237,"['Violence', 'Justice', 'Law']"
181,"does-social-media-play-a-significant-role-in-influencing-people's-behaviors,-becoming-a-key-driver-of-climate-change-64444","['ClimateChange', 'SocialMedia', 'Advertising', 'Psychology', 'Technology', 'Ecology']"
182,is-south-africa's-icj-case-against-israel-legitimate-64967,"['Israel', 'Gaza', 'Politics', 'War', 'Law']"
183,is-cloning-animals-ethical-7948,"['Science', 'Ethics', 'Animals', 'Technology', 'Morality']"
184,is-islam-a-threat-to-western-civilization-12645,"['Islam', 'Religion', 'USA']"
185,should-a-license-be-required-in-order-to-have-a-child-(procreate)-2368,"['Parenting', 'Children', 'Ethics', 'Society']"
186,should-humans-act-to-fight-climate-change-4540,"['Science', 'Humans', 'Society', 'Environment', 'Climate']"
187,should-the-us-continue-to-support-israel-in-the-israel-palestine-conflict-64434,"['Israel', 'Palestine', 'USA', 'Gaza']"
188,god-exists-3491,"['Ethics', 'Religion', 'God']"
189,is-civil-disobedience-in-a-democracy-morally-justified-64275,"['Morality', 'Laws']"
190,is-having-police-officers-in-schools-a-good-idea-22512,"['Violence', 'School', 'Police', 'Education', 'Children']"
191,has-religion-been-a-good-thing-for-humanity-8539,"['Religion', 'Society', 'Ethics', 'Faith', 'God']"
192,should-there-be-mandatory-schools-for-parents-41670,"['Parenting', 'Children', 'Child', 'Abuse', 'Childhood', 'Parents']"
193,should-we-continue-researching-technologies-to-extend-human-life-60597,"['Ethics', 'Medical', 'Philosophy', 'Religion', 'Society']"
194,should-you-confess-to-cheating-after-a-one-night-stand-1384,"['Ethics', 'Marriage', 'Relationships', 'Sex']"
195,should-policy-decisions-be-based-on-scientific-evidence-56081,"['Evidence', 'Policy', 'Politics', 'Reform', 'Science']"
196,should-school-uniforms-be-banned-12545,"['School', 'Education']"
197,is-the-asymmetry-argument-at-the-basis-of-anti-natalism-flawed-15121,"['Antinatalism', 'Benatar', 'Philosophy', 'Tremblay']"
198,are-gmo-crops-an-essential-technology-for-the-future-of-humanity-35864,"['Science', 'Food', 'Sustainability']"
199,should-indigenous-lands-be-returned-to-native-populations-30410,"['USA', 'Equality', 'Culture', 'Race', 'History', 'Australia']"
200,are-bitcoin-and-similar-cryptocurrencies-good-for-the-world-333,"['ADC', 'Bitcoin', 'Anonymity', 'Blockchain', 'Crypto', 'Cryptocurrency']"
201,an-anarchist-society-is-preferable.-43725,"['Anarchism', 'Governance', 'Capitalism', 'Markets', 'Libertarian', 'Freedom']"
202,is-capitalism-the-best-system-for-the-people-38004,"['Capitalism', 'Politics', 'Government', 'Economy']"
203,is-morality-objective-2649,"['Morality', 'Philosophy', 'Ethics']"
204,what-will-christianity-look-like-tomorrow-60837,"['Christianity', 'Christian', 'Future']"
205,should-the-sale-of-genetically-modified-food-be-banned-17715,"['Science', 'Health', 'Politics', 'Food']"
206,are-the-rich-or-the-poor-more-responsible-for-environmental-damages-10248,"['Environment', 'Development', 'Equality', 'ClimateChange', 'Poverty']"
207,should-direct-democracy-be-allowed-to-overrule-elected-representatives-62079,"['Direct', 'Democracy', 'Representative', 'Referendum', 'Electrorate']"
208,l'italia-dovrebbe-diventare-a-pieno-titolo-uno-stato-federale-42980,"['Federalismo', 'Italia', 'Centralismo']"
209,should-felons-be-allowed-to-vote-1470,"['USA', 'Elections', 'Justice', 'Politics', 'Democracy']"
210,do-video-games-have-a-positive-effect-on-society-7702,"['Children', 'Games', 'Technology', 'Entertainment', 'Internet']"
211,production-and-distribution-coordination-between-local-structures-in-anarchist-economies-62990,"['Economics', 'Anarchy']"
212,"wie-ist-vermittelbar,-dass-effektive-nachhaltigkeit-für-viele-menschen-im-globalen-norden-verzicht-bedeutet-31674","['Gesellschaft', 'Klimawandel']"
213,should-florida-pass-hb-1403-(medical-conscience)-62706,"['Medical', 'Conscience', 'LGBTQ']"
214,should-empathy-be-taught-in-school-9812,"['Ethics', 'Education', 'Civil', 'Civic', 'Society']"
215,there-are-no-health-risks-of-using-a-5g-cellular-mobile-phone.-39889,"['5G', 'Mobile', 'Phones', 'Health', 'Risk', 'Protest']"
216,do-we-need-religion-for-morality-7738,"['Ethics', 'Morality', 'Religion']"
217,mathematics-should-be-taught-based-on-tau-instead-of-pi-32759,"['Mathematics', 'Education']"
218,should-the-use-of-ai-in-law-be-welcomed-64871,"['AI', 'Law', 'Technology', 'Science', 'Ethics']"
219,should-social-media-platforms-be-regulated-by-the-government-37673,"['SocialMedia', 'Politics', 'News', 'Community', 'Fakenews', 'Platform']"
220,facial-recognition-technology-use-should-be-regulated-heavily.-38119,"['Technology', 'Privacy', 'Social', 'Law', 'Lawreform']"
221,sollten-deutsche-wohnen-&-co.-enteignet-werden-50732,"['Ökonomie', 'Berlin']"
222,hierarchy-is-a-social-structure-designed-to-maintain-order-in-a-system.-38961,"['Science', 'Philosophy', 'Ethics', 'Biology', 'Psychology']"
223,"is-taylor-swift's-video-""the-man""-a-proper-representation-of-men-in-today's-society-34152","['Feminism', 'Misogyny', 'Sexism', 'Men', 'Music']"
224,does-the-multiverse-exist-30310,"['Astronomy', 'Unknown', 'Existence', 'Big', 'Environment', 'Bubbles']"
225,was-the-ussr-communist-4051,"['World', 'Government', 'Politics']"
226,do-we-need-nuclear-power-for-sustainable-energy-production-6182,"['Technology', 'Environment', 'ClimateChange', 'Nuclear', 'Energy']"
227,should-florida-pass-hb-3-(online-access-to-materials-harmful-to-minors)-64915,"['Media', 'Florida', 'Legislation']"
228,should-education-at-public-universities-in-the-united-states-be-tuition-free-8606,"['Education', 'School', 'USA', 'America']"
229,should-school-be-mandatory-7614,"['Education', 'School', 'Children', 'Parenting']"
230,should-asia-form-a-union-similar-to-the-eu-63785,"['Asia', 'Organization', 'Military', 'Economics']"
231,should-public-transport-be-free-33112,"['PublicTransport', 'Travel', 'Economy', 'Commuting', 'ClimateChange']"
232,should-aborting-a-disabled-child-be-legal-6288,"['Ethics', 'Law', 'Politics', 'Children', 'HumanRights', 'Abortion']"
233,at-the-age-of-thirteen-children-should-be-able-to-legally-change-their-name-or-gender-49231,"['Gender', 'Equality']"
234,is-fine-tuning-good-evidence-for-a-creator-51095,"['God', 'Christianity', 'Religion', 'Physics', 'Cosmology']"
235,should-there-be-trigger-warnings-in-education-16218,"['Education', 'School', 'Violence']"
236,should-we-abolish-political-parties-in-the-usa-16863,"['Politics', 'USA', 'Democracy']"
237,is-ecotourism-sustainable-10294,"['Ethics', 'Environment', 'ClimateChange', 'Earth', 'Ecotourism']"
238,should-conscientious-objection-to-abortion-be-banned-2851,"['Abortion', 'Religion', 'HumanRights', 'Ethics', 'Feminism', 'Health']"
239,the-trolley-problem:-what's-the-right-solution-921,"['Ethics', 'Philosophy', 'Trolley', 'AI', 'Cars']"
240,mathematics-can-be-an-analogy-for-existence-48253,['2000']
241,is-mathematical-platonism-true-13286,"['Philosophy', 'Religion', 'Science', 'Mathematics']"
242,is-artificial-general-intelligence-(agi)-even-possible-27150,"['AI', 'AGI', 'Technology', 'ArtificialIntelligence', 'Computers']"
243,what-are-the-inalienable-rights-49985,"['Politics', 'UnitedStates', 'Constitution', 'Rights', 'Philosophy']"
244,should-people-with-genetic-disorders-reproduce-64862,"['Reproduction', 'Genetic', 'Disorder', 'Ethics', 'Morality', 'PoliticalCorrectness']"
245,does-objective-logic-exist-6986,"['Philosophy', 'Logic', 'Irrational', 'Axioms', 'Objectivity', 'Rationality', 'Reality', 'Realism']"
246,currency-should-not-exist-if-automation-takes-over-everyone's-job.-8823,"['Economics', 'USA', 'AI', 'Humans', 'Society', 'Jobs']"
